DISPLAY,PROMPT,MONOTONICITY
4,MORE,POS
0,CONJ,POS
1,FEW,POS
4,CONJ,NEG
3,NAME,NEG
2,CONJ,NEG
1,MORE,POS
0,CONJ,NEG
4,LESS,NEG
4,CONJ,POS
1,NAME,NEG
2,CONJ,POS
2,MANY,POS
0,CONJ,POS
0,MORE,NEG
4,CONJ,NEG
2,NAME,NEG
2,CONJ,NEG
0,NAME,NEG
0,CONJ,NEG
1,LESS,POS
4,CONJ,POS
3,NAME,NEG
2,CONJ,POS
3,LESS,POS
0,CONJ,POS
4,NAME,NEG
4,CONJ,NEG
4,FEW,POS
2,CONJ,NEG
0,NAME,NEG
0,CONJ,NEG
1,FEW,POS
4,CONJ,POS
0,MORE,POS
2,CONJ,POS
3,MORE,NEG
0,CONJ,POS
2,MORE,POS
4,CONJ,NEG
3,MORE,POS
2,CONJ,NEG
2,LESS,NEG
0,CONJ,NEG
2,LESS,POS
4,CONJ,POS
1,NAME,NEG
2,CONJ,POS
3,FEW,POS
0,CONJ,POS
0,LESS,POS
4,CONJ,NEG
4,NAME,NEG
2,CONJ,NEG
0,MANY,NEG
0,CONJ,NEG
2,NAME,NEG
4,CONJ,POS
4,LESS,POS
2,CONJ,POS
